source,author,title,description,url,publishedAt
"{'id': 'cbs-news', 'name': 'CBS News'}",CBS News,Pfizer submits vaccine for emergency use authorization,"On Friday, pharmaceutical company Pfizer became the first company to submit a coronavirus vaccine to the U.S. Food and Drug Administration for an emergency use authorization. Dr. James Phillips, Chief of Disaster Medicine at George Washington University Hospi…",https://www.cbsnews.com/video/pfizer-submits-vaccine/,2020-11-21T03:29:22+00:00
"{'id': 'google-news-au', 'name': 'Google News (Australia)'}","Lisa Cox, Calla Wahlquist",Coronavirus live news: Brazil passes 6m cases as South Australia reports new case,Donald Trump Jr tests positive for Covid; South Australia makes pizza worker scapegoat for failures; German doctor arrested on suspicion of killing two Covid patients. Follow latest updates,https://www.theguardian.com/world/live/2020/nov/21/coronavirus-live-news-brazil-passes-6m-cases-as-south-australia-reports-new-case,2020-11-21T03:27:00+00:00
"{'id': 'cbs-news', 'name': 'CBS News'}",CBS News,"CBS Evening News, November 20, 2020","U.S. sets daily record with more than 187,000 new coronavirus cases; Many share what they’re thankful for amid COVID-19 pandemic.",https://www.cbsnews.com/video/112020-cbs-evening-news/,2020-11-21T03:04:24+00:00
"{'id': 'fox-news', 'name': 'Fox News'}",Fox News,"Fauci calls WHO 'flawed organization,' discusses holidays and vaccine",White House coronavirus task force member tells 'Bill Hemmer Reports' families should assess their risk before holidays,https://video.foxnews.com/v/6211333004001/,2020-11-21T02:52:23.8235496Z
"{'id': 'the-hill', 'name': 'The Hill'}",Jesse Byrnes,Trump to participate in virtual G-20 summit amid coronavirus surge | TheHill,"President Trump will appear at the virtual Group of 20 (G-20) summit this weekend, the...",http://thehill.com/homenews/administration/526990-trump-to-participate-in-virtual-g-20-summit-amid-coronavirus-surge,2020-11-21T02:13:23Z
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Coronavirus vaccines: Will any countries get left out?,"Experts say the pandemic needs a global solution, but there are concerns over access to vaccines.",http://www.bbc.co.uk/news/world-54961045,2020-11-21T01:52:23.71922Z
"{'id': 'google-news-ca', 'name': 'Google News (Canada)'}","Diego Romero, Diego Romero","Alta. announces daily high for 2nd day in a row with 1,155 coronavirus cases","Alberta broke its daily record high of cases for the second day in a row after its top doctor reported 1,155 infections Friday.",https://edmonton.ctvnews.ca/our-current-situation-is-grim-alta-announces-daily-high-for-2nd-day-in-a-row-with-1-155-covid-19-cases-1.5198185,2020-11-21T01:15:00+00:00
"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",,"Whose COVID-19 vaccines are coming to Canada, and when? How well do they work? Everything you need to know","Two leading drug makers say they’re making progress toward an effective safeguard against the novel coronavirus, but first they have to be approved, and then we need to figure out how to get them to Canadians",https://www.theglobeandmail.com/canada/article-whose-covid-19-vaccines-are-coming-to-canada-and-when-how-well-do/,2020-11-21T00:47:03Z
"{'id': 'breitbart-news', 'name': 'Breitbart News'}",Joshua Caplan,Rand Paul: Fauci Will 'Keep Us Masked Until the End of Time',"Sen. Rand Paul quipped that Dr. Anthony Fauci, a White House coronavirus task force member, will ""keep us masked until the end of time.""",http://www.breitbart.com/politics/2020/11/20/rand-paul-fauci-will-keep-us-masked-until-the-end-of-time/,2020-11-21T00:29:38Z
"{'id': 'msnbc', 'name': 'MSNBC'}",MSNBC,"Donald Trump Jr. tests positive for Covid-19, according to spokesperson","Donald Trump Jr., the president's eldest son, has tested positive for coronavirus, a spokesperson told NBC News on Friday.",https://www.nbcnews.com/politics/politics-news/donald-trump-jr-tests-positive-covid-19-according-spokesperson-n1248475,2020-11-21T00:21:48Z
