source,author,title,description,url,publishedAt
"{'id': None, 'name': 'Lifehacker.com'}","Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker","Sorry, Mouthwash Isn't a Coronavirus Cure","Mouthwash is designed to kill germs in your mouth. It is, I’d have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infections, or any other mouth-germ-y illness. We shouldn’t get …",https://vitals.lifehacker.com/sorry-mouthwash-isnt-a-coronavirus-cure-1845440818,2020-10-21T19:45:00Z
"{'id': None, 'name': 'Lifehacker.com'}",Elizabeth Yuko,Check an Airline's Coronavirus Policies Before Booking,"Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that you’re as safe as possible. On top of that, there are fewer routes and flights available, travel restrictions, and other guidelines that seem to…",https://lifehacker.com/check-an-airlines-coronavirus-policies-before-booking-1845432440,2020-10-21T16:00:00Z
"{'id': None, 'name': 'New York Times'}",Michael Kolomatsky,Coronavirus and Home Design,A recent survey of architects reveals that clients are looking for ways to improve the time they spend at home.,https://www.nytimes.com/2020/10/22/realestate/pandemic-shaping-home-design.html,2020-10-22T13:00:08Z
"{'id': 'wired', 'name': 'Wired'}",Adam Rogers,The Next Covid Dilemma: How to Make Buildings Breathe Better,Better indoor ventilation systems could make people safer and healthier—and not just because they’d slow down the coronavirus.,https://www.wired.com/story/the-next-covid-dilemma-how-to-make-buildings-breathe-better/,2020-11-09T12:00:00Z
"{'id': None, 'name': 'New York Times'}",Jonathan Wolfe,Coronavirus Briefing: What Happened Today,"The pandemic has made the U.S. election one of the most chaotic, irregular and unsettling in recent memory.",https://www.nytimes.com/2020/11/02/us/coronavirus-today.html,2020-11-02T22:53:23Z
"{'id': None, 'name': 'New York Times'}",Emily Cochrane,Grassley Tests Positive for Coronavirus,"Two of the oldest members of Congress, Senator Charles E. Grassley of Iowa and Representative Don Young of Alaska, now have the virus, underscoring the risks on Capitol Hill.",https://www.nytimes.com/2020/11/17/us/politics/coronavirus-congress-grassley.html,2020-11-18T00:09:03Z
"{'id': None, 'name': 'New York Times'}",Jonathan Wolfe,Coronavirus Briefing: What Happened Today,Alaska is emerging as a possible test case for what winter may be like in the U.S.,https://www.nytimes.com/2020/10/21/us/coronavirus-today.html,2020-10-21T22:16:08Z
"{'id': None, 'name': 'New York Times'}",Jonathan Wolfe,Coronavirus Briefing: What Happened Today,Hospitals across the U.S. and Europe are reaching capacity at a rapid pace.,https://www.nytimes.com/2020/10/23/us/coronavirus-today.html,2020-10-23T21:26:05Z
"{'id': None, 'name': 'New York Times'}",Jonathan Wolfe,Coronavirus Briefing: What Happened Today,France and Germany reimposed nationwide lockdowns as cases surge.,https://www.nytimes.com/2020/10/28/us/coronavirus-today.html,2020-10-28T21:32:20Z
"{'id': None, 'name': 'New York Times'}",Jonathan Wolfe,Coronavirus Briefing: What Happened Today,"The U.S. recorded more than 500,000 new cases and counted its nine millionth case.",https://www.nytimes.com/2020/10/30/us/coronavirus-today.html,2020-10-30T21:20:01Z
"{'id': None, 'name': 'Lifehacker.com'}","Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",How to Safely Return to Exercise After You've Had COVID-19,"Normally, the process for getting back to exercise after you’re sick is a simple one: trust your body, take it easy, and don’t overthink it. But if you’ve had the coronavirus, extra caution is needed. Read more...",https://vitals.lifehacker.com/how-to-safely-return-to-exercise-after-youve-had-covid-1845709729,2020-11-18T21:45:00Z
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Lomas,Europe urges ecommerce platforms to share data in fight against coronavirus scams,European lawmakers are pressing major ecommerce and media platforms to share more data with each other as a tool to fight rogue traders who are targeting consumers with coronavirus scams. After the pandemic spread to the West Internet platforms were flooded w…,http://techcrunch.com/2020/11/06/europe-urges-ecommerce-platforms-to-share-data-in-fight-against-coronavirus-scams/,2020-11-06T17:59:36Z
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Mascarenhas,This startup is betting that you want to binge remote-work content,"As the coronavirus pandemic evolved into a genuine threat, offices closed to limit spread and people suddenly had to download Zoom and work from home. In the months since, many offices have remained closed. And with the number of coronavirus cases growing at …",http://techcrunch.com/2020/11/11/this-startup-is-betting-that-you-want-to-binge-remote-work-content/,2020-11-11T13:00:24Z
"{'id': None, 'name': 'New York Times'}",Kim Velsey,"First Coronavirus Hit, Then They Got Bedbugs","Three roommates support each other through the pandemic and fumigation, and luck into a bigger apartment for the same price.",https://www.nytimes.com/2020/10/26/realestate/first-coronavirus-hit-then-they-got-bedbugs.html,2020-10-26T09:00:24Z
"{'id': None, 'name': 'Gizmodo.com'}",Alyse Stanley,White House Vs. Coronavirus: Round 2,"President Donald Trump’s chief of staff Mark Meadows has tested positive for coronavirus, multiple outlets reported late Friday evening. Read more...",https://gizmodo.com/white-house-vs-covid-19-round-2-1845602669,2020-11-07T05:34:00Z
"{'id': 'cnn', 'name': 'CNN'}",,How coronavirus treatment has changed,CNN's Sanjay Gupta breaks down how coronavirus treatment has changed for doctors in hospitals since the start of the pandemic.,https://www.cnn.com/videos/health/2020/11/11/sanjay-gupta-coronavirus-treatment-change-newday-vpx.cnn,2020-11-11T21:44:30Z
"{'id': None, 'name': 'Lifehacker.com'}",Beth Skwarecki,"There's New Coronavirus Vaccine Data, and It's Okay to Actually Feel Hopeful","Today, Moderna announced that its coronavirus vaccine appears to be 94.5% effective. It’s the second vaccine candidate (after Pfizer’s, at 90%) to give us an early peek at their phase three results, and once again the news is good, but comes with caveats.Read…",https://lifehacker.com/theres-new-coronavirus-vaccine-data-and-its-okay-to-ac-1845688550,2020-11-16T17:15:00Z
"{'id': None, 'name': 'New York Times'}",Astead W. Herndon and Annie Karni,Trump Dismisses Virus Coverage and Biden Dismisses Virus Leadership: This Week in the 2020 Race,"President Trump has complained this week of what he calls a media obsession with the coronavirus pandemic. The message from Democrats has been united — all coronavirus, all the time.",https://www.nytimes.com/2020/10/31/us/politics/trump-dismisses-virus-coverage-and-biden-dismisses-virus-leadership-this-week-in-the-2020-race.html,2020-10-31T09:00:03Z
"{'id': None, 'name': 'New York Times'}","Sanya Dosani, Alexander Stockton and Adam Westbrook",How America Helped Defeat the Coronavirus*,Just not in the U.S.,https://www.nytimes.com/video/opinion/100000007352441/us-coronavirus-response-asia.html,2020-10-28T09:22:29Z
"{'id': None, 'name': 'New York Times'}",James Gorman,Mink and the Coronavirus: What We Know,Mink are the only animal known to both catch the virus from people and transmit it to them.,https://www.nytimes.com/article/mink-coronavirus-mutation.html,2020-11-09T23:22:34Z
